,,,,,,Aug,Sept,Oct,Nov,Dec,Jan,Feb,March,April,May,June,July,
WP,Name,Project Activity,Research Question,Lead,Q7,Q8,Q9,Q10,Q11,Q12,...12,Link,,,,,,https://docs.google.com/spreadsheets/d/1I6nACPumyIL02goD_seopUFFH649fL11QDmgK7Uil-8/edit#gid=0
WP1,Investigate why there is limited openly available black carbon data,Activity 1.1: Literature research on black carbon data availability,RQ 1.1: Why is black carbon data not published openly?,Lead person initials,,,,,,,,,,,,,,
WP1,Investigate why there is limited openly available black carbon data,Activity 1.2: Interview with experts in OpenAQ,RQ 1.2: Why there is limited black carbon data on OpenAQ platform?,Lead person initials,,,,,,,,,,,,,,
WP1,Investigate why there is limited openly available black carbon data,Activity 1.3: A panel discussion inviting different stakeholders to discuss hindrance to open data,,,,,,,,,,,,,,,,
WP1,Investigate why there is limited openly available black carbon data,Activity 1.4: Interviews with government organizations responsible for data collection,RQ 1.3: What are the barriers that the organizations face in sharing their data openly?,Lead person initials,,,,,,,,,,,,,,
WP2,Encourage sharing of black carbon data,Activity 2.1: Write a blog on benefits of open black carbon data ,RQ 2.1: What are the benefits of open black carbon data?,Lead person initials,,,,,,,,,,,,,,
WP2,Encourage sharing of black carbon data,Activity 2.2: Promote the project online ,,,,,,,,,,,,,,,,
WP2,Encourage sharing of black carbon data,Activity 2.3: Approach government organizations to share their data,,,,,,,,,,,,,,,,
WP3,Upload Black Carbon data on OpenAQ platform,Activity 3.1: Upload batch data from my PhD project,RQ 3.1: How can we upload batch data on OpenAQ?,Me or openAQ,,,,,,,,,,,,,,
WP3,Upload Black Carbon data on OpenAQ platform,Activity 3.2: Upload data openly available in literature,,,,,,,,,,,,,,,,
WP3,Upload Black Carbon data on OpenAQ platform,Activity 3.3: Upload data from the countries identified in WP2,RQ 3.2: What are the black carbon concentrations?,Lead person initials,,,,,,,,,,,,,,
WP4,Disseminate process of data sharing with OpenAQ,Activity 3.1: Organise online workshop together with OpenAQ on data sharing with OpenAQ,RQ 3.1:,Lead person initials,,,,,,,,,,,,,,
WP4,Disseminate process of data sharing with OpenAQ,Activity 3.2: Organise a session in a conference on sharing data with OpenAQ,RQ 3.2:,Lead person initials,,,,,,,,,,,,,,
